"Choice","Age","Female","Income","Education","Job"
"BOC",24,0,4,2,"Service"
"BOC",24,0,3,3,"Education"
"CCB",38,1,7,2,"Finance"
"CCB",47,1,1,1,"Education"
"CCB",74,1,2,4,"Industry"
"BOC",22,0,6,4,"Student"
"BOC",57,0,3,5,"Student"
"BOC",25,0,6,2,"Education"
"BOC",36,1,7,5,"Government"
"CCB",46,1,2,1,"Service"
"BOC",52,1,1,2,"Government"
"CCB",61,1,2,1,"Government"
"CCB",56,1,7,5,"Industry"
"BOC",26,1,2,3,"Student"
"BOC",41,1,1,4,"Finance"
"CCB",72,1,4,4,"Unemployed"
"BOC",52,1,7,5,"Industry"
"BOC",34,1,2,3,"Government"
"ICBC",64,1,2,5,"Industry"
"BOC",54,1,2,2,"Retired"
"CCB",63,1,5,5,"Government"
"CCB",71,0,5,5,"Unemployed"
"BOC",66,1,3,5,"Retired"
"CCB",53,1,7,4,"Service"
"CCB",31,1,6,2,"Finance"
"CCB",20,0,5,2,"Service"
"CCB",22,1,7,1,"Unemployed"
"BOC",54,1,1,5,"Industry"
"BOC",58,0,4,3,"Retired"
"BOC",70,0,3,4,"Unemployed"
"CCB",23,0,4,2,"Service"
"BOC",63,1,3,3,"Finance"
"CCB",36,1,3,5,"Student"
"BOC",52,0,6,5,"Finance"
"BOC",31,0,3,3,"Education"
"CCB",52,0,3,5,"Retired"
"CCB",56,0,7,4,"Government"
"BOC",26,1,3,4,"Industry"
"BOC",31,0,2,5,"Government"
"CCB",73,0,4,3,"Industry"
"BOC",72,0,1,4,"Service"
"CCB",25,0,6,1,"Education"
"CCB",61,0,4,3,"Retired"
"CCB",38,1,5,2,"Service"
"BOC",70,1,6,3,"Education"
"CCB",50,0,3,3,"Service"
"BOC",67,0,4,3,"Education"
"CCB",68,0,6,1,"Industry"
"CCB",28,1,5,5,"Unemployed"
"CCB",68,1,2,3,"Industry"
"BOC",33,1,2,5,"Retired"
"CCB",57,0,2,4,"Government"
"BOC",23,1,1,5,"Industry"
"CCB",66,1,3,2,"Student"
"CCB",28,0,6,5,"Unemployed"
"BOC",66,0,1,2,"Retired"
"CCB",46,0,5,4,"Education"
"BOC",19,0,1,5,"Industry"
"CCB",31,0,5,2,"Education"
"BOC",40,0,6,3,"Industry"
"CCB",20,0,4,2,"Government"
"CCB",65,0,7,3,"Retired"
"BOC",24,1,1,1,"Unemployed"
"BOC",55,1,2,5,"Industry"
"CCB",58,1,2,5,"Education"
"CCB",27,1,7,5,"Government"
"BOC",26,1,6,3,"Service"
"CCB",59,0,3,3,"Finance"
"CCB",71,0,2,2,"Government"
"CCB",28,1,5,4,"Education"
"CCB",71,1,7,5,"Government"
"ICBC",70,1,3,1,"Unemployed"
"CCB",44,1,5,4,"Unemployed"
"CCB",23,0,6,2,"Student"
"CCB",62,1,3,1,"Service"
"BOC",71,1,4,2,"Student"
"CCB",69,0,2,5,"Industry"
"ABC",65,0,3,2,"Unemployed"
"BOC",55,1,3,3,"Government"
"BOC",44,0,7,5,"Unemployed"
"BOC",68,1,4,4,"Retired"
"ICBC",62,1,2,1,"Student"
"BOC",22,0,7,5,"Government"
"BOC",33,1,2,4,"Unemployed"
"CCB",34,1,7,4,"Education"
"BOC",70,1,3,3,"Service"
"BOC",28,1,3,1,"Student"
"BOC",71,0,3,2,"Student"
"CCB",31,1,4,1,"Government"
"ICBC",51,0,1,2,"Student"
"CCB",38,1,1,5,"Government"
"CCB",37,1,2,5,"Industry"
"ABC",40,1,1,1,"Student"
"CCB",45,1,3,2,"Unemployed"
"CCB",61,0,7,3,"Industry"
"CCB",53,1,5,3,"Service"
"ABC",51,1,1,3,"Student"
"CCB",39,1,5,4,"Retired"
"BOC",60,0,4,1,"Student"
"CCB",75,0,2,3,"Finance"
"BOC",33,1,7,3,"Government"
"CCB",65,0,2,5,"Industry"
"CCB",25,1,5,5,"Retired"
"CCB",19,0,6,5,"Retired"
"BOC",61,1,5,4,"Retired"
"BOC",63,1,5,4,"Industry"
"BOC",37,0,3,1,"Unemployed"
"BOC",62,0,4,4,"Retired"
"CCB",20,1,3,2,"Government"
"BOC",23,1,4,4,"Retired"
"BOC",50,1,6,5,"Education"
"CCB",19,0,6,5,"Education"
"ICBC",45,1,6,1,"Government"
"CCB",75,1,5,2,"Unemployed"
"BOC",74,1,5,2,"Service"
"CCB",47,0,7,2,"Finance"
"BOC",29,1,7,5,"Government"
"BOC",30,0,1,4,"Industry"
"CCB",75,0,2,2,"Retired"
"CCB",30,0,1,3,"Government"
"BOC",20,0,5,2,"Unemployed"
"BOC",34,0,5,4,"Industry"
"CCB",47,0,7,2,"Retired"
"CCB",46,1,4,2,"Education"
"CCB",23,1,7,1,"Government"
"CCB",26,1,4,5,"Government"
"CCB",37,0,6,4,"Student"
"BOC",36,0,6,3,"Industry"
"BOC",33,0,1,4,"Education"
"CCB",72,0,4,1,"Finance"
"BOC",27,0,5,3,"Unemployed"
"CCB",55,1,6,2,"Student"
"BOC",31,0,4,4,"Student"
"CCB",50,0,2,5,"Service"
"ABC",57,1,1,4,"Retired"
"ABC",57,1,4,1,"Unemployed"
"CCB",63,0,4,5,"Government"
"CCB",72,1,5,4,"Service"
"CCB",52,0,6,5,"Finance"
"CCB",34,1,2,4,"Government"
"CCB",63,0,7,2,"Finance"
"BOC",18,0,3,2,"Finance"
"CCB",50,1,2,2,"Service"
"CCB",35,0,3,5,"Unemployed"
"CCB",70,1,7,5,"Government"
"CCB",64,0,1,4,"Education"
"CCB",68,1,6,4,"Government"
"BOC",19,1,1,3,"Unemployed"
"CCB",32,0,5,1,"Retired"
"CCB",31,0,7,1,"Unemployed"
"BOC",29,1,3,2,"Student"
"ABC",74,1,1,1,"Student"
"BOC",31,0,4,4,"Finance"
"BOC",18,0,1,5,"Industry"
"ICBC",59,0,5,2,"Retired"
"CCB",56,1,2,5,"Unemployed"
"BOC",19,1,6,2,"Education"
"CCB",32,1,3,4,"Education"
"BOC",68,0,5,2,"Service"
"BOC",75,0,1,5,"Unemployed"
"ICBC",45,0,3,2,"Retired"
"CCB",66,0,3,2,"Retired"
"BOC",50,0,2,4,"Government"
"CCB",71,0,5,3,"Service"
"BOC",56,0,4,3,"Retired"
"CCB",36,1,6,1,"Government"
"CCB",42,1,6,5,"Government"
"BOC",28,1,3,4,"Service"
"CCB",23,0,2,2,"Education"
"CCB",54,0,7,2,"Retired"
"CCB",21,1,3,1,"Service"
"BOC",75,1,2,3,"Unemployed"
"CCB",31,0,6,2,"Unemployed"
"CCB",36,0,5,2,"Student"
"BOC",46,0,4,2,"Unemployed"
"CCB",62,1,6,3,"Finance"
"BOC",40,0,1,4,"Unemployed"
"CCB",70,0,7,4,"Government"
"CCB",69,0,4,1,"Finance"
"CCB",72,1,7,2,"Unemployed"
"CCB",53,0,7,1,"Government"
"ICBC",74,1,3,1,"Student"
"BOC",21,1,6,1,"Service"
"CCB",18,0,6,2,"Industry"
"CCB",20,1,4,3,"Finance"
"CCB",23,1,6,1,"Education"
"CCB",73,0,6,5,"Student"
"CCB",53,0,7,2,"Education"
"BOC",36,0,1,2,"Service"
"CCB",33,1,3,4,"Government"
"BOC",75,0,2,2,"Retired"
"ICBC",66,0,5,1,"Retired"
"BOC",39,1,7,2,"Service"
"CCB",71,0,6,5,"Unemployed"
"BOC",38,1,1,3,"Retired"
"BOC",50,1,4,4,"Unemployed"
"BOC",18,1,1,4,"Student"
"CCB",66,1,4,4,"Government"
"CCB",69,1,4,5,"Industry"
"CCB",68,1,5,1,"Service"
"CCB",27,1,2,4,"Student"
"CCB",71,1,5,1,"Unemployed"
"BOC",71,1,2,4,"Industry"
"CCB",63,1,7,3,"Retired"
"CCB",32,0,3,4,"Student"
"BOC",32,1,1,5,"Service"
"CCB",39,0,6,3,"Service"
"CCB",22,0,4,2,"Education"
"CCB",40,1,7,5,"Government"
"BOC",62,1,6,2,"Education"
"ABC",39,1,3,1,"Unemployed"
"BOC",71,0,2,5,"Government"
"BOC",58,0,1,5,"Industry"
"CCB",26,1,4,5,"Industry"
"CCB",72,0,6,3,"Unemployed"
"CCB",42,1,5,2,"Unemployed"
"CCB",52,1,7,2,"Unemployed"
"BOC",34,1,3,4,"Government"
"CCB",49,0,1,4,"Government"
"CCB",24,1,5,2,"Education"
"BOC",58,0,2,2,"Student"
"CCB",51,1,6,2,"Government"
"CCB",38,1,7,3,"Retired"
"BOC",18,0,7,5,"Finance"
"CCB",19,1,7,3,"Government"
"CCB",24,0,6,1,"Retired"
"CCB",51,1,7,4,"Student"
"ABC",47,0,2,1,"Student"
"CCB",37,0,4,2,"Government"
"BOC",44,0,5,4,"Service"
"BOC",45,1,7,5,"Retired"
"BOC",42,1,7,3,"Government"
"BOC",59,1,3,3,"Unemployed"
"CCB",50,1,7,3,"Retired"
"CCB",34,1,2,3,"Government"
"CCB",64,0,5,1,"Unemployed"
"BOC",20,1,2,3,"Industry"
"CCB",53,1,3,5,"Finance"
"BOC",59,0,6,4,"Retired"
"CCB",61,1,2,1,"Retired"
"CCB",36,1,6,2,"Finance"
"BOC",29,1,4,3,"Education"
"BOC",51,0,7,5,"Retired"
"BOC",53,0,2,5,"Student"
"CCB",23,0,7,3,"Service"
"CCB",50,0,2,1,"Finance"
"BOC",43,0,7,4,"Retired"
"BOC",44,1,7,5,"Student"
"BOC",43,0,7,3,"Service"
"CCB",69,0,5,3,"Unemployed"
"BOC",73,1,3,5,"Finance"
"CCB",56,0,6,4,"Industry"
"CCB",51,1,3,5,"Unemployed"
"ABC",74,1,2,2,"Service"
"ICBC",19,1,3,3,"Industry"
"ICBC",75,0,6,3,"Industry"
"CCB",20,0,3,1,"Unemployed"
"CCB",30,1,6,2,"Government"
"CCB",73,0,5,4,"Unemployed"
"BOC",56,1,2,2,"Student"
"CCB",74,0,5,1,"Unemployed"
"CCB",29,1,3,1,"Finance"
"CCB",73,0,2,3,"Finance"
"BOC",28,1,2,3,"Education"
"ICBC",36,1,6,2,"Unemployed"
"CCB",36,1,4,1,"Service"
"ICBC",27,0,1,2,"Student"
"BOC",73,0,3,4,"Student"
"CCB",75,1,7,3,"Retired"
"CCB",69,1,4,1,"Education"
"ABC",29,1,1,2,"Retired"
"BOC",35,1,7,5,"Finance"
"CCB",48,0,2,2,"Service"
"CCB",25,0,6,5,"Service"
"BOC",30,0,3,3,"Unemployed"
"CCB",43,0,3,4,"Education"
"CCB",56,0,4,3,"Service"
"ICBC",55,0,6,2,"Industry"
"BOC",40,1,1,3,"Industry"
"CCB",64,0,6,5,"Finance"
"BOC",42,1,1,5,"Student"
"CCB",18,1,4,4,"Government"
"BOC",51,1,2,3,"Unemployed"
"CCB",55,0,2,5,"Unemployed"
"BOC",50,1,2,1,"Education"
"CCB",65,1,3,2,"Education"
"CCB",59,1,7,3,"Student"
"CCB",33,0,5,1,"Retired"
"CCB",70,0,5,1,"Student"
"CCB",23,0,7,2,"Industry"
"BOC",69,0,3,3,"Education"
"BOC",62,1,4,5,"Finance"
"BOC",54,1,2,4,"Student"
"CCB",33,1,5,3,"Student"
"BOC",53,1,2,4,"Unemployed"
"CCB",71,1,6,2,"Unemployed"
"CCB",62,0,7,2,"Student"
"BOC",51,1,4,4,"Student"
"ICBC",73,0,3,1,"Retired"
"CCB",43,0,7,2,"Unemployed"
"CCB",31,0,7,4,"Education"
"BOC",31,0,2,5,"Industry"
"CCB",30,0,7,2,"Government"
"CCB",48,0,7,5,"Government"
"CCB",69,1,7,1,"Industry"
"CCB",38,0,6,3,"Government"
"CCB",63,0,2,5,"Industry"
"CCB",55,1,4,3,"Student"
"BOC",56,0,2,3,"Education"
"CCB",27,0,3,5,"Student"
"CCB",37,0,3,4,"Retired"
"CCB",42,1,7,2,"Retired"
"BOC",22,0,6,3,"Unemployed"
"ICBC",36,0,4,1,"Industry"
