id,interest,downpayment,rebate,speed,choice
21,4,30,0.1,0.5,1
21,3.5,25,0.1,1,0
21,3.75,20,0,0.5,0
22,3.75,25,0,1.5,1
22,3.75,40,0.15,0.5,0
22,3.75,20,0.1,1.5,0
23,3.75,25,0.15,1.5,1
23,3.5,30,0.3,1.5,0
23,3.75,30,0,0.5,0
24,3.5,20,0,1,0
24,3.75,20,0.1,0.5,1
24,3.75,40,0.1,0.5,0
25,3.75,30,0,1.5,1
25,4,20,0.1,1,0
25,3.75,40,0.1,1,0
26,3.75,30,0,1.5,1
26,3.75,25,0.15,0.5,0
26,3.75,25,0.1,1,0
27,3.75,20,0.3,1,1
27,4,25,0,1,0
27,3.75,30,0,0.5,0
28,3.75,30,0.1,1.5,0
28,3.5,20,0,1.5,1
28,3.75,25,0.1,1,0
29,3.75,20,0.15,1.5,1
29,3.75,25,0.1,1,0
29,3.75,25,0.1,1,0
30,4,30,0,1.5,0
30,3.5,40,0.15,0.5,0
30,3.75,25,0,1,1
31,4,30,0,0.5,1
31,4,40,0.1,1,0
31,3.75,20,0.15,0.5,0
32,4,30,0.1,1,0
32,3.5,30,0.15,1.5,0
32,3.75,20,0,1,1
33,4,25,0.15,1.5,0
33,3.5,20,0,1.5,0
33,3.75,30,0.3,1,1
34,3.75,30,0.1,1.5,0
34,4,40,0,1.5,0
34,3.75,25,0.1,0.5,1
35,3.75,20,0.15,0.5,0
35,3.5,40,0.1,1.5,0
35,3.75,25,0,0.5,1
36,3.5,40,0.15,0.5,1
36,4,30,0.3,1.5,0
36,3.75,40,0,1.5,0
37,4,20,0.3,1,1
37,3.75,20,0,1,0
37,3.75,25,0,1,0
38,4,30,0,1.5,1
38,3.75,40,0.15,0.5,0
38,3.75,40,0,1.5,0
39,3.75,30,0.15,0.5,0
39,3.75,25,0.3,0.5,0
39,3.75,30,0,0.5,1
40,3.5,30,0.15,0.5,1
40,3.5,30,0,1.5,0
40,3.75,25,0.15,1.5,0
41,4,25,0.1,0.5,0
41,3.75,25,0,1,1
41,3.75,30,0.15,1,0
42,3.5,25,0,1,0
42,3.5,30,0,0.5,1
42,3.75,20,0.1,1.5,0
43,3.5,30,0,1.5,0
43,3.5,30,0.1,1.5,0
43,3.75,30,0,0.5,1
44,4,25,0.15,1,0
44,3.5,25,0.1,1.5,1
44,3.75,40,0.1,1,0
45,3.5,30,0.3,1.5,0
45,3.75,40,0,0.5,1
45,3.75,40,0.15,0.5,0
46,3.5,30,0.3,1.5,0
46,4,20,0.3,0.5,0
46,3.75,30,0.1,0.5,1
47,3.5,20,0,1,1
47,3.5,25,0.15,1,0
47,3.75,40,0.3,1,0
48,3.5,25,0,1.5,1
48,3.75,40,0.15,0.5,0
48,3.75,25,0.15,1,0
49,3.5,30,0.3,1,1
49,3.5,40,0.3,0.5,0
49,3.75,20,0.1,1.5,0
50,3.75,25,0,1,0
50,4,40,0.1,1.5,1
50,3.75,20,0.15,0.5,0
51,3.75,40,0.1,1.5,0
51,4,40,0.1,1,1
51,3.75,40,0.15,0.5,0
52,3.75,20,0,0.5,0
52,3.5,25,0.3,1,1
52,3.75,30,0.1,1.5,0
53,3.75,30,0,0.5,1
53,4,20,0,1.5,0
53,3.75,25,0.15,0.5,0
54,3.5,30,0.3,1.5,0
54,4,30,0.15,1.5,0
54,3.75,25,0.15,1.5,1
55,4,40,0.1,1.5,0
55,3.75,30,0.15,0.5,0
55,3.75,25,0,1.5,1
56,3.5,30,0.3,1.5,0
56,3.5,25,0,0.5,1
56,3.75,30,0,1.5,0
57,4,30,0.15,0.5,0
57,3.75,25,0,1,1
57,3.75,25,0.1,1.5,0
58,4,25,0.3,0.5,1
58,3.5,20,0,1.5,0
58,3.75,30,0.1,1,0
59,4,25,0.3,1,1
59,3.75,40,0,0.5,0
59,3.75,25,0,1,0
60,4,40,0,1.5,0
60,3.75,30,0.1,1,0
60,3.75,20,0.1,0.5,1
61,4,40,0.15,0.5,0
61,3.5,25,0.15,1.5,0
61,3.75,25,0.1,0.5,1
62,4,25,0.15,1,0
62,3.75,40,0,1.5,1
62,3.75,25,0,0.5,0
63,3.75,25,0.3,1.5,1
63,4,40,0.3,1,0
63,3.75,40,0.3,1,0
64,3.75,40,0.1,0.5,1
64,3.5,25,0.15,1.5,0
64,3.75,20,0.3,0.5,0
65,3.5,25,0.15,0.5,0
65,3.75,40,0.15,1,0
65,3.75,20,0.15,0.5,1
66,3.5,25,0.3,0.5,0
66,4,30,0.3,0.5,0
66,3.75,25,0.15,0.5,1
67,3.5,30,0.15,1.5,0
67,3.75,40,0.3,1,0
67,3.75,20,0.3,0.5,1
68,4,40,0.1,1,1
68,3.75,20,0.1,0.5,0
68,3.75,25,0.1,1.5,0
69,3.5,40,0.1,0.5,1
69,3.75,30,0.3,0.5,0
69,3.75,30,0.15,0.5,0
70,4,40,0,1,0
70,3.5,30,0.3,0.5,0
70,3.75,30,0.3,1.5,1
71,4,30,0.15,0.5,0
71,4,20,0.1,0.5,0
71,3.75,30,0.1,1,1
72,3.75,25,0,1.5,0
72,4,25,0.1,1,1
72,3.75,40,0,1,0
73,3.5,30,0.3,1,0
73,3.5,30,0,1,1
73,3.75,20,0.1,0.5,0
74,4,20,0.15,1.5,0
74,3.75,30,0.1,0.5,0
74,3.75,20,0,1.5,1
75,3.5,25,0.3,0.5,1
75,3.5,40,0.3,1.5,0
75,3.75,30,0.1,1,0
76,4,25,0.1,0.5,0
76,3.5,30,0.3,1.5,0
76,3.75,20,0.1,1.5,1
77,3.5,20,0.3,1,0
77,4,25,0,1,1
77,3.75,20,0.3,0.5,0
78,3.75,40,0.15,1,0
78,3.75,25,0.3,1,1
78,3.75,40,0.3,0.5,0
79,4,20,0.3,1,0
79,3.5,30,0.15,1.5,1
79,3.75,30,0.15,0.5,0
80,3.5,25,0.3,1,0
80,4,25,0,1.5,0
80,3.75,20,0.15,1.5,1
81,3.5,40,0.15,0.5,0
81,3.75,30,0.3,0.5,1
81,3.75,40,0.3,1,0
82,4,20,0.15,1,0
82,3.75,30,0.1,0.5,1
82,3.75,30,0.3,1.5,0
83,3.75,30,0.1,1,0
83,4,25,0.15,1,0
83,3.75,25,0,0.5,1
84,3.5,25,0.1,1.5,0
84,3.5,20,0.3,0.5,0
84,3.75,30,0.1,0.5,1
85,3.5,25,0,1,1
85,4,30,0,0.5,0
85,3.75,30,0.15,0.5,0
86,4,30,0.1,0.5,1
86,4,20,0,0.5,0
86,3.75,25,0.1,1,0
87,4,20,0,1,0
87,3.75,30,0.3,1,0
87,3.75,30,0,1.5,1
88,3.75,40,0.15,1,0
88,3.5,30,0,1,0
88,3.75,40,0,1.5,1
89,4,30,0.15,1,0
89,3.5,30,0.3,1,0
89,3.75,25,0.15,1,1
90,3.5,25,0,1.5,1
90,4,40,0.3,1.5,0
90,3.75,30,0.15,0.5,0
91,3.75,20,0.15,1,1
91,3.75,25,0,0.5,0
91,3.75,30,0.1,1,0
92,4,25,0.1,1.5,0
92,3.5,40,0.1,1.5,0
92,3.75,25,0.3,1.5,1
93,3.75,30,0.15,1,0
93,4,25,0.15,0.5,1
93,3.75,40,0,0.5,0
94,4,20,0.15,0.5,0
94,3.5,30,0,0.5,1
94,3.75,30,0,1.5,0
95,3.75,20,0.3,1,0
95,3.75,40,0,0.5,0
95,3.75,40,0.3,1.5,1
96,3.5,40,0.15,1,1
96,4,20,0.3,1,0
96,3.75,20,0.3,1.5,0
97,4,30,0.15,1.5,0
97,3.5,20,0,1.5,0
97,3.75,20,0,1,1
98,3.5,20,0,1.5,1
98,3.5,30,0.15,1.5,0
98,3.75,40,0.3,1.5,0
99,4,40,0.1,1,0
99,4,20,0,1.5,1
99,3.75,40,0.3,0.5,0
100,3.75,25,0.15,0.5,0
100,4,30,0.3,0.5,0
100,3.75,20,0.15,1,1
101,3.75,30,0,1,1
101,3.75,30,0,1,0
101,3.75,25,0.1,0.5,0
102,4,20,0.3,0.5,1
102,3.75,40,0.1,1.5,0
102,3.75,40,0.3,0.5,0
103,4,25,0,1,0
103,3.5,25,0.3,1.5,0
103,3.75,20,0.15,1.5,1
104,3.75,40,0.1,0.5,0
104,4,30,0.3,0.5,0
104,3.75,20,0.3,1.5,1
105,3.75,20,0.3,1,0
105,4,40,0.3,1,0
105,3.75,25,0.3,1.5,1
106,4,20,0.1,0.5,1
106,3.5,20,0.3,0.5,0
106,3.75,30,0,1.5,0
107,4,40,0,1,0
107,3.75,20,0,1,1
107,3.75,30,0.1,0.5,0
108,3.75,20,0.3,0.5,1
108,3.5,30,0,0.5,0
108,3.75,25,0.3,1.5,0
109,3.75,20,0.3,1,0
109,3.75,40,0,0.5,0
109,3.75,30,0.1,1,1
110,4,25,0.3,1,1
110,4,20,0.1,0.5,0
110,3.75,40,0.1,1,0
111,3.5,40,0.1,1.5,0
111,4,30,0.3,1,1
111,3.75,40,0.15,0.5,0
112,3.5,30,0,1.5,0
112,3.5,40,0,1,0
112,3.75,40,0.3,0.5,1
113,4,40,0,0.5,0
113,4,25,0,1,0
113,3.75,20,0,0.5,1
114,4,30,0.15,0.5,1
114,3.5,25,0,1,0
114,3.75,30,0.15,1,0
115,3.75,20,0.3,1.5,0
115,3.75,40,0.15,1.5,1
115,3.75,25,0.3,1,0
116,3.5,30,0.15,1.5,0
116,3.5,25,0.15,0.5,0
116,3.75,30,0.15,0.5,1
117,4,25,0.15,1,1
117,4,30,0.1,1,0
117,3.75,40,0,1,0
118,3.75,30,0.15,1.5,1
118,3.5,40,0.3,1,0
118,3.75,40,0,0.5,0
119,3.5,30,0.1,1,0
119,3.5,25,0.15,1,0
119,3.75,25,0,1,1
120,4,40,0.3,1.5,0
120,4,40,0,1.5,0
120,3.75,20,0.1,1.5,1
121,3.75,20,0.1,0.5,1
121,4,30,0.15,1,0
121,3.75,20,0.15,0.5,0
122,3.75,20,0.3,0.5,1
122,4,30,0.1,0.5,0
122,3.75,40,0.15,1.5,0
123,4,25,0.3,0.5,0
123,3.75,25,0,0.5,0
123,3.75,20,0.15,1.5,1
124,4,40,0.1,1,0
124,3.5,20,0.15,1.5,1
124,3.75,25,0.3,1.5,0
125,3.5,25,0.3,1,1
125,4,30,0.1,0.5,0
125,3.75,30,0.1,0.5,0
126,3.5,20,0,1,1
126,3.5,40,0,0.5,0
126,3.75,20,0.1,1,0
127,4,20,0,1,0
127,3.5,20,0.1,1,1
127,3.75,40,0,0.5,0
128,3.5,25,0.15,0.5,1
128,3.5,30,0.15,0.5,0
128,3.75,40,0.3,1,0
129,3.5,25,0.1,1.5,1
129,4,30,0.15,1,0
129,3.75,20,0.15,0.5,0
130,3.5,25,0,1.5,0
130,4,40,0.3,1,0
130,3.75,30,0.15,1,1
131,3.75,40,0.3,1,0
131,4,40,0.1,1.5,0
131,3.75,25,0,0.5,1
132,3.5,20,0.3,1,1
132,4,40,0.1,1.5,0
132,3.75,25,0,0.5,0
133,4,40,0.15,0.5,0
133,3.5,20,0,0.5,1
133,3.75,20,0.3,0.5,0
134,4,30,0,1.5,0
134,4,30,0,1.5,0
134,3.75,40,0,1,1
135,3.75,25,0.3,0.5,0
135,4,40,0,1.5,0
135,3.75,30,0,1,1
136,3.5,20,0.1,1.5,1
136,4,30,0.15,1,0
136,3.75,30,0,1.5,0
137,4,40,0.3,1.5,0
137,3.75,20,0.1,1.5,1
137,3.75,25,0.3,1.5,0
138,3.5,40,0.1,1,0
138,4,30,0.3,0.5,1
138,3.75,40,0.1,1,0
139,3.5,30,0.1,1.5,1
139,3.5,20,0,1,0
139,3.75,40,0.3,1.5,0
140,4,30,0.15,1,0
140,3.75,25,0.3,1.5,1
140,3.75,20,0.15,1,0
141,4,20,0.1,1,0
141,3.5,30,0,0.5,1
141,3.75,40,0,0.5,0
142,4,30,0.15,0.5,0
142,3.5,25,0.15,1,1
142,3.75,30,0,0.5,0
143,3.75,30,0.1,0.5,0
143,4,25,0,1.5,0
143,3.75,20,0.3,0.5,1
144,3.75,25,0.3,1,0
144,3.5,20,0.15,0.5,0
144,3.75,20,0.1,1.5,1
145,3.5,40,0.1,0.5,0
145,3.75,40,0.1,1.5,0
145,3.75,25,0.15,1,1
146,3.5,40,0,1.5,0
146,3.5,25,0.3,0.5,0
146,3.75,30,0.1,0.5,1
147,3.75,20,0.15,1,1
147,4,20,0.1,1.5,0
147,3.75,25,0.15,0.5,0
148,4,25,0,1,0
148,3.75,40,0.1,0.5,0
148,3.75,30,0,0.5,1
149,3.5,20,0.15,1,1
149,3.5,25,0.1,0.5,0
149,3.75,30,0,1,0
150,4,25,0.1,1.5,1
150,3.5,40,0.1,1,0
150,3.75,30,0,1,0
151,4,25,0,1.5,1
151,3.5,25,0.15,1,0
151,3.75,20,0.3,1,0
152,4,25,0.3,1,0
152,4,30,0.1,1,1
152,3.75,30,0.15,1,0
153,4,25,0.15,0.5,1
153,4,25,0.1,1.5,0
153,3.75,30,0,0.5,0
154,3.75,30,0,0.5,1
154,3.5,30,0,1,0
154,3.75,30,0.15,0.5,0
155,4,25,0,0.5,0
155,3.75,25,0.15,1.5,1
155,3.75,40,0,0.5,0
156,4,25,0,1,1
156,3.75,25,0.3,1,0
156,3.75,30,0.1,1,0
157,4,20,0.3,1.5,1
157,4,20,0.1,0.5,0
157,3.75,40,0.1,1.5,0
158,4,40,0,1.5,1
158,4,40,0.3,0.5,0
158,3.75,30,0,1.5,0
159,3.5,40,0.3,0.5,1
159,3.5,40,0.3,1,0
159,3.75,30,0.15,1.5,0
160,4,25,0.15,1,0
160,3.5,30,0.3,1.5,0
160,3.75,30,0,1.5,1
161,3.5,25,0.1,1,0
161,3.5,25,0,0.5,0
161,3.75,30,0.15,1,1
162,3.75,30,0.3,0.5,0
162,3.5,30,0.1,1,1
162,3.75,25,0,0.5,0
163,3.5,40,0.15,1.5,0
163,3.75,20,0.1,1.5,0
163,3.75,40,0.15,0.5,1
164,3.75,40,0,1.5,0
164,4,30,0,1.5,0
164,3.75,25,0.15,1,1
165,3.5,25,0,1.5,0
165,3.5,25,0.1,1,0
165,3.75,30,0.1,1,1
166,4,20,0.1,1.5,1
166,4,25,0.1,1.5,0
166,3.75,40,0.3,1.5,0
167,3.75,30,0,1.5,0
167,4,40,0.3,0.5,0
167,3.75,40,0.15,0.5,1
168,3.75,40,0.3,0.5,1
168,3.75,25,0.3,0.5,0
168,3.75,40,0,0.5,0
169,3.5,40,0.3,1,1
169,4,30,0.3,0.5,0
169,3.75,25,0.1,1,0
170,4,20,0.1,1.5,1
170,3.75,30,0.1,0.5,0
170,3.75,30,0.3,1.5,0
171,3.5,30,0.3,1.5,1
171,3.75,30,0.1,0.5,0
171,3.75,25,0,1.5,0
172,4,25,0.15,0.5,0
172,3.5,25,0.15,1,1
172,3.75,30,0.3,1,0
173,3.75,40,0.15,0.5,0
173,3.5,25,0.1,0.5,1
173,3.75,20,0,1,0
174,4,20,0.3,1,0
174,3.75,25,0.15,0.5,1
174,3.75,40,0.15,0.5,0
175,3.5,20,0.1,1.5,1
175,3.75,20,0,1,0
175,3.75,20,0.15,1,0
176,3.5,20,0.15,1,1
176,3.75,20,0.1,1.5,0
176,3.75,40,0.1,0.5,0
177,3.75,40,0.3,0.5,0
177,3.5,30,0.15,0.5,0
177,3.75,30,0.1,1,1
178,3.75,25,0,1.5,1
178,3.75,25,0,0.5,0
178,3.75,20,0.1,1,0
179,3.75,40,0,1,0
179,3.5,25,0,0.5,1
179,3.75,40,0,1.5,0
180,3.75,30,0.1,1.5,1
180,3.75,20,0,1.5,0
180,3.75,20,0,1,0
181,4,20,0.1,1.5,0
181,4,40,0,1.5,0
181,3.75,25,0.15,0.5,1
182,3.75,30,0.1,1.5,1
182,3.5,20,0,1.5,0
182,3.75,25,0.1,1,0
183,4,40,0.1,1,1
183,3.5,25,0.1,0.5,0
183,3.75,30,0.1,1,0
184,4,20,0.3,1.5,0
184,3.75,30,0,0.5,1
184,3.75,40,0,0.5,0
185,3.75,25,0,1,1
185,4,40,0.15,0.5,0
185,3.75,25,0.15,0.5,0
186,3.75,20,0.3,1.5,0
186,3.75,30,0.3,1.5,0
186,3.75,20,0.3,1.5,1
187,3.75,25,0.3,0.5,0
187,4,40,0.3,1.5,1
187,3.75,40,0.1,1.5,0
188,4,40,0.1,0.5,0
188,3.5,20,0.3,0.5,1
188,3.75,40,0,1.5,0
189,4,30,0,0.5,1
189,4,20,0,1.5,0
189,3.75,40,0.1,1.5,0
190,4,25,0.1,1,0
190,3.5,40,0.3,1,0
190,3.75,25,0.15,1,1
191,4,30,0,0.5,0
191,3.5,20,0.3,1.5,1
191,3.75,40,0.15,0.5,0
192,4,20,0.3,0.5,1
192,4,25,0.15,1,0
192,3.75,30,0.1,1,0
193,4,20,0.1,1.5,1
193,3.75,30,0.3,0.5,0
193,3.75,25,0.1,1.5,0
194,3.75,30,0.3,0.5,0
194,3.75,30,0,1.5,0
194,3.75,30,0,1.5,1
195,3.5,30,0.3,1,1
195,3.5,30,0.1,1,0
195,3.75,30,0.1,1.5,0
196,4,30,0.15,1,0
196,3.5,30,0,1,1
196,3.75,30,0,0.5,0
197,3.75,30,0.1,0.5,0
197,4,25,0.1,1,0
197,3.75,20,0.3,1,1
198,4,40,0,0.5,0
198,3.5,40,0.3,1.5,1
198,3.75,25,0,1.5,0
199,3.5,25,0.1,1.5,0
199,4,20,0.3,1.5,0
199,3.75,20,0.3,1.5,1
200,3.75,25,0.3,1.5,0
200,3.5,30,0.15,1,1
200,3.75,25,0.1,1,0
201,3.75,25,0.1,1,0
201,3.75,25,0.15,1.5,0
201,3.75,40,0.3,1.5,1
202,4,40,0,1.5,0
202,3.75,40,0.1,1,0
202,3.75,25,0.3,0.5,1
203,3.5,25,0.1,1.5,0
203,3.75,40,0.15,1,1
203,3.75,40,0.15,1,0
204,4,25,0.1,0.5,0
204,3.5,20,0.15,1,1
204,3.75,40,0,1.5,0
205,3.75,40,0.15,1,0
205,3.75,40,0.3,1,0
205,3.75,40,0.1,1,1
206,4,20,0.1,1.5,0
206,3.75,40,0.1,0.5,1
206,3.75,40,0.15,1,0
207,4,25,0,1.5,0
207,4,20,0,1.5,0
207,3.75,30,0.15,1,1
208,4,20,0.15,1.5,0
208,3.75,30,0.3,1.5,1
208,3.75,20,0.15,0.5,0
209,4,20,0.3,1,0
209,3.75,30,0,1.5,0
209,3.75,20,0,1,1
210,3.75,20,0,0.5,0
210,3.75,40,0.15,1.5,1
210,3.75,30,0.1,0.5,0
211,3.75,20,0.1,0.5,0
211,3.5,25,0.15,1.5,1
211,3.75,20,0.3,0.5,0
212,3.75,40,0.1,1,1
212,3.75,40,0.15,1,0
212,3.75,30,0.15,1.5,0
213,4,30,0.15,1.5,0
213,3.75,25,0.1,1.5,0
213,3.75,20,0.1,1,1
214,4,20,0.15,1,1
214,4,40,0,1,0
214,3.75,40,0,1.5,0
215,3.75,40,0.3,0.5,0
215,4,20,0.1,0.5,1
215,3.75,20,0.15,1.5,0
216,3.75,20,0.15,1,0
216,3.75,20,0,1,1
216,3.75,25,0.3,1.5,0
217,4,40,0,1,0
217,3.75,20,0.15,0.5,0
217,3.75,20,0.3,0.5,1
218,4,40,0.3,1.5,0
218,3.75,40,0.15,1,0
218,3.75,40,0,1,1
219,4,20,0.1,1.5,0
219,3.5,20,0.15,0.5,0
219,3.75,20,0,1,1
220,3.5,20,0.1,1.5,1
220,4,25,0.1,1,0
220,3.75,30,0.1,1,0
221,3.5,25,0.3,1.5,1
221,4,40,0.15,1.5,0
221,3.75,40,0.1,1,0
222,3.75,20,0.1,0.5,0
222,4,30,0.15,0.5,1
222,3.75,40,0.3,1.5,0
223,4,40,0.1,0.5,0
223,3.75,25,0.3,0.5,1
223,3.75,40,0.15,0.5,0
224,3.75,25,0.3,1.5,0
224,3.5,20,0,1.5,0
224,3.75,20,0.15,1,1
225,4,40,0.3,0.5,0
225,3.5,30,0.15,0.5,1
225,3.75,20,0.15,0.5,0
226,3.5,40,0.15,1,0
226,3.75,25,0.1,1.5,0
226,3.75,30,0.3,1,1
227,3.5,25,0,1.5,0
227,3.5,25,0.15,1,1
227,3.75,25,0.1,1,0
228,4,40,0.15,0.5,0
228,4,40,0,1.5,1
228,3.75,30,0.15,1.5,0
229,4,40,0.15,0.5,0
229,4,30,0.1,1.5,0
229,3.75,40,0,0.5,1
230,4,25,0,0.5,0
230,3.75,30,0,1.5,1
230,3.75,30,0.1,0.5,0
231,4,30,0.15,0.5,0
231,3.75,20,0.3,1.5,0
231,3.75,20,0.1,1,1
232,4,40,0.3,0.5,1
232,4,25,0,1,0
232,3.75,30,0.15,0.5,0
233,3.75,30,0.15,0.5,0
233,3.5,40,0.3,1,0
233,3.75,25,0,1,1
234,3.5,30,0.1,0.5,1
234,3.75,40,0,0.5,0
234,3.75,40,0.15,1.5,0
235,3.75,40,0,1.5,0
235,3.75,40,0,0.5,0
235,3.75,20,0.15,0.5,1
236,3.5,25,0,0.5,1
236,4,40,0.15,1.5,0
236,3.75,40,0,1.5,0
237,4,30,0.1,0.5,0
237,4,20,0.3,1.5,1
237,3.75,25,0,0.5,0
238,4,40,0.15,0.5,0
238,3.5,20,0,0.5,0
238,3.75,25,0,1,1
239,4,25,0,0.5,1
239,4,40,0.15,0.5,0
239,3.75,30,0,1.5,0
240,4,30,0,0.5,1
240,3.5,40,0.15,0.5,0
240,3.75,40,0.1,1.5,0
241,3.5,30,0.3,1.5,1
241,3.75,25,0.1,0.5,0
241,3.75,30,0.1,1.5,0
242,4,20,0,1,0
242,3.75,20,0.15,0.5,1
242,3.75,20,0,1,0
243,4,20,0,1,0
243,3.75,25,0.15,1,1
243,3.75,20,0.15,1,0
244,3.75,40,0.15,1,0
244,3.75,20,0,1.5,1
244,3.75,25,0.3,1,0
245,3.5,20,0,1,1
245,4,40,0.3,0.5,0
245,3.75,20,0.3,1.5,0
246,4,40,0,1.5,1
246,3.5,30,0.3,1.5,0
246,3.75,20,0.15,0.5,0
247,4,25,0.15,1.5,1
247,3.5,25,0.15,1,0
247,3.75,20,0.15,0.5,0
248,3.5,30,0,0.5,1
248,3.75,30,0.3,1,0
248,3.75,25,0.1,1.5,0
249,3.5,30,0.1,1,0
249,3.75,30,0.15,0.5,1
249,3.75,30,0.15,1,0
250,4,25,0,1.5,0
250,3.75,20,0.3,1,0
250,3.75,25,0.3,1,1
251,3.75,30,0,0.5,1
251,4,40,0.15,1,0
251,3.75,40,0.1,1,0
252,4,25,0.1,1.5,1
252,3.75,30,0.15,0.5,0
252,3.75,20,0.15,1.5,0
253,4,25,0.1,0.5,0
253,3.75,30,0,1.5,1
253,3.75,40,0.15,1.5,0
254,4,30,0.3,1.5,1
254,4,40,0,1,0
254,3.75,40,0.1,1.5,0
255,3.5,25,0,0.5,1
255,3.75,25,0.15,0.5,0
255,3.75,20,0.1,1,0
256,3.5,25,0.3,1,0
256,4,30,0.15,1.5,1
256,3.75,40,0.15,1.5,0
257,3.5,25,0.1,1,0
257,3.75,20,0.3,1,1
257,3.75,20,0.15,1,0
258,3.5,20,0.3,1.5,1
258,4,40,0.15,0.5,0
258,3.75,30,0.3,1,0
259,3.75,30,0.3,1,1
259,4,30,0.15,0.5,0
259,3.75,40,0.1,0.5,0
260,3.75,25,0,0.5,0
260,3.75,20,0.15,1,1
260,3.75,25,0.3,1.5,0
261,4,20,0.15,1,0
261,3.75,40,0.3,1,1
261,3.75,40,0.3,1,0
262,3.5,40,0,1,0
262,3.5,25,0,1,1
262,3.75,40,0.3,0.5,0
263,4,20,0.3,1.5,0
263,3.5,20,0,1,0
263,3.75,30,0.15,1,1
264,4,20,0,1.5,0
264,3.75,20,0.15,1,1
264,3.75,40,0.1,1,0
265,4,40,0.1,0.5,0
265,3.75,20,0,1,1
265,3.75,30,0.1,1,0
266,4,40,0.3,1.5,0
266,4,30,0.3,1.5,1
266,3.75,30,0.15,1.5,0
267,3.5,40,0.3,1.5,0
267,4,20,0,1.5,1
267,3.75,30,0.3,0.5,0
268,3.5,20,0.15,1,0
268,3.5,20,0,0.5,1
268,3.75,40,0,1.5,0
269,4,20,0.15,0.5,0
269,3.5,30,0,0.5,1
269,3.75,25,0.1,1,0
270,3.5,25,0.3,1.5,0
270,3.5,30,0.15,1,0
270,3.75,25,0.15,1,1
271,3.75,30,0.15,0.5,1
271,3.5,30,0.15,1.5,0
271,3.75,40,0.15,1,0
272,3.75,40,0,1.5,0
272,3.75,40,0.15,1,1
272,3.75,30,0.1,0.5,0
273,3.75,40,0.15,1,0
273,4,30,0,0.5,1
273,3.75,40,0.1,0.5,0
274,4,40,0,0.5,0
274,3.75,40,0.15,1.5,0
274,3.75,30,0.3,0.5,1
275,3.5,25,0.15,0.5,0
275,3.75,40,0.3,0.5,1
275,3.75,40,0,0.5,0
276,3.5,30,0.3,0.5,0
276,3.75,30,0.3,1,1
276,3.75,30,0,0.5,0
277,4,40,0.3,1.5,1
277,4,40,0.15,0.5,0
277,3.75,30,0.3,1.5,0
278,3.75,30,0.15,0.5,0
278,3.75,20,0.3,1.5,0
278,3.75,40,0.1,1,1
279,3.5,25,0,0.5,0
279,3.75,20,0,1,0
279,3.75,30,0.3,0.5,1
280,4,40,0.3,1,0
280,3.75,30,0.3,1.5,1
280,3.75,25,0.15,1,0
281,3.75,30,0.15,1,1
281,3.5,30,0.3,0.5,0
281,3.75,20,0,1,0
282,4,25,0.3,0.5,1
282,4,20,0.3,1.5,0
282,3.75,30,0.3,1,0
283,4,25,0.15,1.5,0
283,4,20,0.3,1.5,1
283,3.75,25,0.15,1,0
284,3.5,40,0,0.5,1
284,4,30,0.15,1.5,0
284,3.75,30,0,1,0
285,3.75,30,0.3,1.5,0
285,4,25,0.3,1.5,1
285,3.75,40,0.1,1.5,0
286,4,30,0.3,0.5,0
